DEBUG: concatenating server address with default port.
DEBUG enip server tags_string:  LIT101:1=REAL LIT102:1=REAL LIT103:1=REAL Q101:1=REAL Q102:1=REAL 
DEBUG enip _start_server cmd:  '/usr/bin/python' '-m' 'cpppo.server.enip' '--print' '--log' 'logs/protocols_tests_enip_server' '--address' '192.168.1.13:44818' 'LIT101:1=REAL' 'LIT102:1=REAL' 'LIT103:1=REAL' 'Q101:1=REAL' 'Q102:1=REAL'
413   0.39976825045375874 0.1999020640322404 0.3002491007838971
414   0.39977268414851713 0.19990309175134618 0.300239822453782
415   0.39977696400080504 0.19990399427139824 0.3002308126935474
416   0.39978310288493851 0.19990630849889315 0.30022208241850901
417   0.39979467365753785 0.19991339925212007 0.30021370139981851
418   0.39979931120626105 0.19991497319038151 0.30020564829726404
419   0.39980284785416853 0.19991568664318207 0.30019783509371384
420   0.3998065782096753 0.19991657374588073 0.30019024751606971
421   0.39981018163403376 0.1999173574197281 0.30018288123446263
422   0.39981552802109199 0.19991947161894161 0.30017574738251729
423   0.39982534547803572 0.19992552275731718 0.3001689054919372
424   0.3998293378163183 0.19992693714062201 0.30016233671709813
425   0.39983241067497483 0.19992763113620576 0.30015596720496457
426   0.39983568954801885 0.19992823940242596 0.30014978399593584
427   0.39983886232701421 0.19992903237433626 0.30014378401791242
